id_post,class,subject,text,Media_url
553486796534054912,0,charliehebdo-all-rnr-threads,"Meaux hospital sent medical team to reported hostage scene northeast of Paris, hospital communications director says. http://t.co/vncToPmhMX",
553531695480463360,0,charliehebdo-all-rnr-threads,"#BREAKING At least one injured in Paris kosher grocery shooting, hostage drama: sources",
553176929411825664,0,charliehebdo-all-rnr-threads,Police search gas station where French media reported #CharlieHebdo suspects allegedly were seen. http://t.co/v9cuXpPIYF,
553550301886955520,0,charliehebdo-all-rnr-threads,"BREAKING: One person seriously wounded, six taken hostage in incident at kosher supermarket in Paris: police source",
552815274848964608,0,charliehebdo-all-rnr-threads,"11 just killed in Paris by ""Alu Akhbar"" shouting armed men in attack on  satirical mag Charlie Hebdo. Background: http://t.co/MUf8ACNbVS",
553513403512532992,0,charliehebdo-all-rnr-threads,"Killing of policewoman in Paris linked to #CharlieHebdo killers, police tell French media after identifying suspect http://t.co/vMD7kvcrjr",
552792802309181440,0,charliehebdo-all-rnr-threads,#CharlieHebdo -  11 dead including 2 police in Paris shooting. Photo @MartinBureau1 #AFP http://t.co/aksGP63MB7,http://pbs.twimg.com/media/B6vqGLmCAAAD26y.jpg
553519375521951744,0,charliehebdo-all-rnr-threads,BREAKING NEWS: PARIS SHOOTERS ARE IN CONFRONTATION WITH POLICE. HOSTAGES INVOLVED. #ParisShooting,
553587672137334785,0,charliehebdo-all-rnr-threads,AFP: suspected #CharlieHebdo gunmen have been killed,
553493785523400704,0,charliehebdo-all-rnr-threads,Building in Dammartin-en-Goele where #CharlieHebdo suspects believed to be holed up http://t.co/BXIQYIqT0R http://t.co/HSzL3gK9eT,http://pbs.twimg.com/media/B65nqlUCYAEq4Wc.jpg
553589720480235522,0,charliehebdo-all-rnr-threads,#BREAKING Le Monde newspaper says hostage take at Kosher supermarket in #Paris dead. #PorteDeVincennes #ParisTerrorAttacks,
553123329561743361,0,charliehebdo-all-rnr-threads,"R.I.P. Ahmed Merabet, a French #Muslim Cop, first victim of #CharlieHebdo attack http://t.co/idgRlYPSk7",http://pbs.twimg.com/media/B60WvLPCEAIoOFS.jpg
552806757672964097,0,charliehebdo-all-rnr-threads,"UPDATE: 12 now confirmed dead in #CharlieHebdo attack in Paris, @AP is reporting. Story: http://t.co/Jfqmha1GdV (AP) http://t.co/vDCIFHIa9U",http://pbs.twimg.com/media/B6v2u81CMAAtiar.jpg
553566026030272512,0,charliehebdo-all-rnr-threads,"Breaking: Two hostage situations in France are linked, Paris prosecutor says",
553474965278691330,0,charliehebdo-all-rnr-threads,BREAKING: French Interior minister: Suspects in Paris terror attack believed to be holding at least 1 hostage near Dammartin-en-Goele.,
553580959661309952,0,charliehebdo-all-rnr-threads,Paris gunman vows to kill 5 hostages if France storms printing plant with brothers accused of attacking newspaper: http://t.co/d2WXdK4XLG,
553490238979727360,0,charliehebdo-all-rnr-threads,MORE: Massacre suspects believed to have taken hostage and holed up in small industrial town northeast of Paris: http://t.co/lmr2ImJhmr,
553572754746638337,0,charliehebdo-all-rnr-threads,Twin hostage situations Erupt in Paris. Two victims have been killed. Our updated story: http://t.co/Z5xnRNhRhN,
552783238415265792,0,charliehebdo-all-rnr-threads,"Breaking: At least 10 dead, 5 injured after tO gunman open fire in offices of Charlie  Hebdo,satirical mag that published Mohammed cartoons",
553532980871053312,0,charliehebdo-all-rnr-threads,#BREAKING - Hostage taken at kosher shop in #Paris by ‘suspect in police officer shooting' https://t.co/4yt6nafpIg http://t.co/f9N8Bjn68I,http://pbs.twimg.com/media/B66LTr1CAAAT_UY.png
553470977972375553,0,charliehebdo-all-rnr-threads,"BREAKING: Reports of shots fired, hostages taken in town Northeast of Paris http://t.co/f30TSVt1yN http://t.co/jeuTP0IOZg",http://pbs.twimg.com/media/B65S6aOCYAAOxJ6.jpg
